,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,236.72717231963983,,302.2618875106689,448.5044008333309,,218.45371250344976
2025,238.0012276335946,,315.2215196523517,437.593493006794,,207.13166683461188
2026,156.96233495193172,,391.8204939808217,504.4142727891569,,136.73607922491786
2027,157.7415512700582,,391.8545741979281,498.46332398360863,,133.86409847638092
2028,158.48994609435908,,391.89172483598776,492.48919335792016,,131.03646670080255
2029,160.24022499704606,,394.6605041178253,488.9480375540186,,129.0943446501524
2030,163.05728938368043,,398.72809945738004,494.423254783084,,128.48477179710156
2031,164.66198785515135,,401.33339171605746,490.6763483314711,,126.82936350455654
2032,166.1796214033536,,403.83234634161346,486.76119624322655,,125.28328701396794
2033,167.61168336846302,,406.2095274761182,482.6699583820902,,123.81579443885842
2034,168.9524694192512,,408.4237100775271,478.3975869191393,,122.42612050437955
2035,170.14463178700424,,399.7952290605753,480.9402935322649,,124.78214879506186
2036,171.0629261999475,,401.73454721388583,476.51291079717885,,123.34204377894807
2037,171.92243476030978,,403.4737781513692,471.9394905455238,,121.94965654441368
2038,214.46820244607403,,305.7669805052765,386.8971834057488,,189.5356418930793
2039,269.72810218153666,,244.34434897617408,328.0194241093914,,250.0825901153526
2040,272.17545523322167,,231.7569062834627,329.3711520616987,,251.0887376750305
2041,291.45939825834216,,240.3326410460996,317.51344630361416,,226.60697734643372
2042,294.283909315691,,238.62044222707527,305.96429343496135,,227.45088995470815
2043,295.4251125495052,,237.2919145927007,301.02841557793425,,223.10287738979318
2044,299.3330871257422,,236.6236985049676,289.1263838091106,,222.12442029463088
2045,301.9783702248174,,239.60208170451492,283.8639487355517,,211.65913644428662
2046,235.65570690456778,,300.3415067715137,332.1928841115701,,153.02570208354948
2047,236.72556839277217,,301.641051915469,326.1595549055864,,147.9822801393061
2048,237.7642247097602,,303.0392013531574,320.2372057890232,,143.007826919111
2049,240.2939018658198,,306.55464691742765,316.19247066068385,,139.1474885868051
